中转IP,中转端口,回源IP,国家,数据中心,IP类型,网络延迟,等效带宽,峰值速度
198.23.254.51,443,198.23.254.51,US,San Jose,中转,67 ms,248 Mbps,31744 kB/s
130.61.23.77,443,130.61.23.77,,Frankfurt,中转,0 ms,232 Mbps,29798 kB/s
129.146.254.39,443,2603:c020:9:e483:690:2c88:ed7a:3091,US,Los Angeles,隧道,60 ms,41 Mbps,5302 kB/s
35.202.158.120,443,35.202.158.120,US,Chicago,中转,36 ms,564 Mbps,72192 kB/s
18.216.55.100,443,18.216.55.100,US,Chicago,中转,26 ms,639 Mbps,81817 kB/s
165.1.74.145,443,165.1.74.145,US,San Jose,中转,97 ms,279 Mbps,35737 kB/s
3.144.191.4,443,3.144.191.4,US,Columbus,中转,26 ms,727 Mbps,93081 kB/s
23.94.217.204,443,23.94.217.204,NL,Amsterdam,中转,212 ms,238 Mbps,30515 kB/s
3.67.25.193,443,18.197.218.69,DE,Frankfurt,隧道,97 ms,234 Mbps,30003 kB/s
152.70.52.215,443,152.70.52.215,NL,Amsterdam,中转,85 ms,243 Mbps,31129 kB/s
84.235.169.234,443,84.235.169.234,NL,Amsterdam,中转,140 ms,49 Mbps,6328 kB/s
152.70.117.174,443,152.70.117.174,US,San Jose,中转,163 ms,332 Mbps,42598 kB/s
192.9.138.241,443,192.9.138.241,,colo.txt:San Jose,中转,0 ms,305 Mbps,39116 kB/s
129.151.204.91,443,129.151.204.91,SE,Stockholm,中转,101 ms,92 Mbps,11878 kB/s
35.230.79.26,443,34.169.47.4,US,Seattle,隧道,67 ms,328 Mbps,41984 kB/s
184.169.181.217,443,184.169.181.217,US,San Jose,中转,68 ms,320 Mbps,40960 kB/s
18.184.55.249,443,18.184.55.249,DE,Frankfurt,中转,96 ms,212 Mbps,27238 kB/s
158.101.209.76,443,158.101.209.76,NL,Amsterdam,中转,84 ms,230 Mbps,29491 kB/s
34.82.76.253,443,34.82.87.23,US,Seattle,隧道,75 ms,280 Mbps,35840 kB/s
198.23.236.101,443,198.23.236.101,US,San Jose,中转,68 ms,303 Mbps,38809 kB/s
