中转IP,中转端口,回源IP,国家,数据中心,IP类型,网络延迟,等效带宽,峰值速度,峰值速度数值
129.213.130.70,443,129.213.130.70,US,Ashburn,中转,5 ms,1368 Mbps,175104 kB/s,175104.0
129.213.202.222,443,129.213.202.222,US,Ashburn,中转,5 ms,1248 Mbps,159744 kB/s,159744.0
18.216.55.100,443,18.216.55.100,US,Columbus,中转,28 ms,600 Mbps,76800 kB/s,76800.0
192.9.139.160,443,192.9.139.160,US,San Jose,中转,66 ms,307 Mbps,39321 kB/s,39321.0
18.184.55.249,443,18.184.55.249,DE,Frankfurt,中转,113 ms,300 Mbps,38502 kB/s,38502.0
35.197.23.75,443,35.212.170.84,US,Seattle,隧道,73 ms,292 Mbps,37478 kB/s,37478.0
141.147.60.82,443,2a0b:21c0:1007:c7:0:6671:1aad:518,DE,Frankfurt,隧道,101 ms,273 Mbps,35020 kB/s,35020.0
184.169.181.217,443,184.169.181.217,US,San Jose,中转,67 ms,262 Mbps,33587 kB/s,33587.0
152.70.155.147,443,152.70.155.147,US,Los Angeles,中转,68 ms,258 Mbps,33075 kB/s,33075.0
3.67.25.193,443,18.197.218.69,DE,Frankfurt,隧道,91 ms,240 Mbps,30720 kB/s,30720.0
23.94.217.204,443,23.94.217.204,NL,Amsterdam,中转,86 ms,232 Mbps,29696 kB/s,29696.0
34.82.76.253,443,34.127.97.83,US,Seattle,隧道,72 ms,231 Mbps,29593 kB/s,29593.0
23.94.43.51,443,23.94.43.51,US,Seattle,中转,85 ms,225 Mbps,28876 kB/s,28876.0
198.23.254.51,443,198.23.254.51,US,San Jose,中转,74 ms,224 Mbps,28774 kB/s,28774.0
18.197.218.69,443,18.197.218.69,DE,Frankfurt,中转,94 ms,224 Mbps,28672 kB/s,28672.0
3.112.21.102,443,3.112.21.102,JP,Tokyo,中转,167 ms,130 Mbps,16691 kB/s,16691.0
35.230.79.26,443,35.212.170.84,US,Seattle,隧道,68 ms,100 Mbps,12902 kB/s,12902.0
158.180.82.186,443,2603:c024:13:6c00::4,KR,Seoul,隧道,206 ms,85 Mbps,10956 kB/s,10956.0
138.3.252.187,443,138.3.252.187,DE,Frankfurt,中转,107 ms,52 Mbps,6680 kB/s,6680.0
132.145.232.171,443,2603:c020:8017:1500:df10:8f8a:d484:d994,DE,Frankfurt,隧道,95 ms,49 Mbps,6366 kB/s,6366.0
129.146.221.78,443,2603:c020:1:6eee:6a58:4a78:d792:985e,US,Los Angeles,隧道,63 ms,48 Mbps,6197 kB/s,6197.0
141.144.253.109,443,141.144.253.109,DE,Frankfurt,中转,96 ms,47 Mbps,6093 kB/s,6093.0
168.138.46.67,443,168.138.46.67,JP,Osaka,中转,174 ms,41 Mbps,5328 kB/s,5328.0
129.213.136.180,443,2603:c020:4015:ebab:563:e432:6616:6dc6,US,Ashburn,隧道,5 ms,38 Mbps,4970 kB/s,4970.0
158.101.214.54,443,158.101.214.54,NL,Amsterdam,中转,111 ms,38 Mbps,4893 kB/s,4893.0
64.110.104.30,443,64.110.104.30,JP,Osaka,中转,168 ms,37 Mbps,4837 kB/s,4837.0
168.138.165.174,443,168.138.165.174,SG,Athens,中转,242 ms,36 Mbps,4698 kB/s,4698.0
168.138.13.201,443,168.138.13.201,AU,Melbourne,中转,222 ms,34 Mbps,4475 kB/s,4475.0
192.9.180.162,443,192.9.180.162,AU,Sydney,中转,217 ms,28 Mbps,3674 kB/s,3674.0
8.219.1.169,443,8.219.1.169,SG,Singapore,中转,258 ms,6 Mbps,810 kB/s,810.0
146.56.162.25,443,146.56.162.25,KR,Seoul,中转,199 ms,5 Mbps,665 kB/s,665.0
131.186.33.175,443,131.186.33.175,JP,Tokyo,中转,171 ms,3 Mbps,408 kB/s,408.0
54.169.229.188,443,2406:da18:618:7e00:33b7:2027:d986:fdaa,SG,Singapore,隧道,250 ms,2 Mbps,302 kB/s,302.0
149.129.8.215,443,47.254.26.25,US,San Jose,隧道,282 ms,0 Mbps,114 kB/s,114.0
47.57.13.107,443,8.212.22.44,HK,Hong Kong,隧道,231 ms,0 Mbps,37 kB/s,37.0
129.159.84.71,443,129.159.84.71,US,Ashburn,中转,389 ms,0 Mbps,12 kB/s,12.0
