中转IP,中转端口,回源IP,国家,数据中心,IP类型,网络延迟,等效带宽,峰值速度,峰值速度数值
184.169.181.217,443,184.169.181.217,US,San Jose,中转,5 ms,1424 Mbps,182272 kB/s,182272.0
34.82.76.253,443,34.168.69.6,US,Seattle,隧道,21 ms,960 Mbps,122880 kB/s,122880.0
192.9.139.160,443,192.9.139.160,US,San Jose,中转,4 ms,912 Mbps,116736 kB/s,116736.0
35.230.79.26,443,35.212.237.223,US,Seattle,隧道,21 ms,904 Mbps,115712 kB/s,115712.0
35.197.23.75,443,35.212.237.223,US,Seattle,隧道,26 ms,872 Mbps,111616 kB/s,111616.0
23.94.43.51,443,23.94.43.51,US,Seattle,中转,18 ms,700 Mbps,89600 kB/s,89600.0
192.9.236.144,443,192.9.236.144,US,San Jose,中转,3 ms,389 Mbps,49868 kB/s,49868.0
18.216.55.100,443,18.216.55.100,US,Columbus,中转,71 ms,357 Mbps,45772 kB/s,45772.0
3.112.21.102,443,3.112.21.102,JP,Tokyo,中转,107 ms,231 Mbps,29593 kB/s,29593.0
18.184.55.249,443,18.184.55.249,DE,Frankfurt,中转,159 ms,142 Mbps,18227 kB/s,18227.0
18.197.218.69,443,18.197.218.69,DE,Frankfurt,中转,166 ms,120 Mbps,15360 kB/s,15360.0
3.67.25.193,443,18.197.218.69,DE,Frankfurt,隧道,169 ms,110 Mbps,14131 kB/s,14131.0
141.144.201.185,443,2606:f240:f00:a683:0:38a7:22cb:c5e,DE,Frankfurt,隧道,163 ms,109 Mbps,14028 kB/s,14028.0
168.138.185.234,443,168.138.185.234,SG,Singapore,中转,191 ms,78 Mbps,10035 kB/s,10035.0
131.186.17.132,443,131.186.17.132,KR,Seoul,中转,131 ms,44 Mbps,5756 kB/s,5756.0
168.138.46.67,443,168.138.46.67,JP,Osaka,中转,112 ms,41 Mbps,5349 kB/s,5349.0
158.101.214.54,443,158.101.214.54,NL,Amsterdam,中转,158 ms,40 Mbps,5199 kB/s,5199.0
132.145.232.171,443,2603:c020:8017:1500:df10:8f8a:d484:d994,DE,Frankfurt,隧道,152 ms,39 Mbps,5028 kB/s,5028.0
64.110.104.30,443,64.110.104.30,JP,Osaka,中转,114 ms,28 Mbps,3608 kB/s,3608.0
129.159.84.71,443,129.159.84.71,US,Ashburn,中转,64 ms,7 Mbps,963 kB/s,963.0
